roll,pitch,yaw,x,y,z
-1.69199,-0.0160205,-1.49404,0.0595349,0.0108554,-0.202148
-1.70127,-0.0415797,-1.48033,0.050902,-0.028486,-0.199723
-1.68323,-0.0217703,-1.49892,0.0627911,0.0190454,-0.223295
-1.6922,-0.0275935,-1.49247,0.061028,0.00403753,-0.211607
-1.69115,-0.0327474,-1.48332,0.0524629,-0.0158447,-0.210573
-1.68245,-0.0257318,-1.49551,0.0636816,0.0104957,-0.225234
-1.70213,-0.0416888,-1.49393,0.0570302,0.0147877,-0.20238
-1.68686,-0.0129233,-1.49541,0.0622761,0.0120324,-0.209877
-1.69338,-0.0208555,-1.4886,0.0577625,-0.00665809,-0.201192
-1.69864,-0.0290075,-1.48991,0.0596455,-0.00170452,-0.195895
-1.70279,-0.0200449,-1.49306,0.0581586,0.00876656,-0.171941
-1.69166,-0.0157092,-1.49745,0.0618865,0.0198368,-0.202277
-1.70235,-0.0363375,-1.48129,0.0492193,-0.0213415,-0.188214
-1.6975,-0.0221871,-1.50302,0.066448,0.0360878,-0.184769
-1.68647,-0.0190433,-1.49337,0.0587764,0.00347686,-0.212907
-1.69644,-0.0514026,-1.47837,0.0482832,-0.0306549,-0.220681
-1.70336,-0.0189716,-1.49347,0.0579332,0.00677496,-0.174293
-1.7042,-0.0416841,-1.48832,0.0545075,-0.00192061,-0.189537
-1.68751,-0.0242885,-1.49394,0.0601066,0.00718424,-0.214263
-1.70323,-0.0202402,-1.48743,0.0542233,-0.00536383,-0.175898
-1.6865,-0.0246202,-1.49018,0.0583059,-0.00238837,-0.217282
-1.68316,-0.0300548,-1.49643,0.062914,0.0118962,-0.213592
-1.70063,-0.0175986,-1.49335,0.0582543,0.00730424,-0.179771
-1.68913,-0.0109478,-1.49462,0.0611817,0.0136508,-0.199641
-1.68452,-0.0322285,-1.4839,0.0511112,-0.013228,-0.228593
-1.70122,-0.0343916,-1.50143,0.0650691,0.0323405,-0.192235
-1.6916,-0.0431783,-1.48017,0.0559586,-0.0278787,-0.224431
-1.68534,-0.0243287,-1.49407,0.0599014,0.00332204,-0.209403
-1.69096,-0.0407133,-1.4719,0.0461947,-0.0449776,-0.219112
-1.6927,-0.0341057,-1.49478,0.0629747,0.0104208,-0.203759
-1.68967,-0.0327298,-1.48241,0.0540166,-0.0233361,-0.225051
-1.67249,-0.0260776,-1.49256,0.0624992,0.00502452,-0.246929
-1.68221,-0.0220775,-1.4955,0.0609364,0.013259,-0.229089
-1.69419,-0.025093,-1.50215,0.0654545,0.0304343,-0.193271
-1.70318,-0.0298008,-1.49531,0.0602575,0.0142119,-0.179904
-1.69294,-0.0201499,-1.49006,0.0594977,-0.00226427,-0.204109
-1.68597,-0.0279062,-1.48829,0.0589381,-0.00675581,-0.229268
-1.68421,-0.0298371,-1.48409,0.056106,-0.015636,-0.232142
-1.70825,-0.0207635,-1.48564,0.0559305,-0.0138959,-0.1633
-1.67106,-0.0279711,-1.49823,0.0674509,0.0167241,-0.252789
-1.68503,-0.0178385,-1.49222,0.0605326,0.00170882,-0.216923
-1.69317,-0.0366054,-1.48648,0.0571181,-0.0103927,-0.216967
-1.69514,-0.0284308,-1.48842,0.0598341,-0.00562937,-0.203789
-1.69929,-0.0374025,-1.48504,0.0529983,-0.0134484,-0.201614
-1.69637,-0.0338596,-1.49821,0.0624303,0.0223144,-0.19834
-1.70187,-0.0219863,-1.48915,0.0557813,-0.00414382,-0.177128
-1.6917,-0.0101375,-1.49793,0.0634382,0.0146308,-0.194222
-1.68842,-0.0255208,-1.49003,0.0609845,0.000877901,-0.220873
-1.67983,-0.025427,-1.49234,0.060044,0.00560271,-0.233424
-1.70078,-0.0285087,-1.49687,0.0569867,0.0201224,-0.182999
